feature,mean_abs_shap
temp_lag_1h,30.91006523262268
temp,24.653421269868222
aqi_epa,24.151764061105393
aqi_roll_mean_6h,12.930168082034058
aqi_lag_1h,11.310482260366097
aqi_lag_12h,9.674077919642254
aqi_lag_6h,8.637178897334222
temp_lag_3h,7.920538451912411
pressure,5.505676665728049
humidity_lag_1h,4.862973578469321
humidity_lag_3h,4.346005217288189
humidity,2.873214500341517
wind_deg,2.3645301917905877
wind_speed,2.359557479340328
day_of_week,2.3435551694270815
aqi_lag_3h,1.9214150305554083
hour,1.1914061243408272
wind_speed_lag_1h,1.0503519865698558
aqi_lag_24h,0.8420990824684034
aqi_roll_std_6h,0.6309725753574842
wind_speed_lag_3h,0.16516455290208035
