feature,mean_abs_shap
temp,25.437653411953153
temp_lag_1h,21.391942742794633
aqi_roll_mean_6h,16.5610500271571
pressure,11.660081427407302
aqi_epa,9.910586815051113
aqi_lag_1h,6.212842019831431
aqi_lag_6h,6.154411546281794
aqi_lag_12h,5.412236576809718
wind_deg,4.849148319423906
humidity_lag_3h,4.333503747206047
aqi_lag_24h,3.948404096178241
aqi_lag_3h,3.918425059807363
humidity,3.468694185529254
hour,2.687409315628878
wind_speed_lag_3h,1.534097300906139
aqi_roll_std_6h,1.430358414623967
wind_speed,1.2810958143979196
wind_speed_lag_1h,1.0517138247958318
humidity_lag_1h,0.889621335029179
day_of_week,0.7258271558497701
temp_lag_3h,0.3238373143538905
