feature,mean_abs_shap
temp,27.908894821078526
temp_lag_1h,26.89566611499648
aqi_roll_mean_6h,11.994200973552992
pressure,9.199611888957467
aqi_lag_12h,7.978391105928383
aqi_epa,7.6363574111702155
aqi_lag_1h,7.040668864614918
temp_lag_3h,6.544659557881039
aqi_lag_6h,6.29777025210022
humidity_lag_1h,4.887759874647213
humidity,3.585066582987026
aqi_lag_24h,3.437956327377981
hour,2.734241615193902
wind_deg,1.8434905233934298
aqi_lag_3h,1.7882349583883133
aqi_roll_std_6h,1.3733969141158238
wind_speed_lag_1h,1.2254957540763396
day_of_week,1.1300507414469159
humidity_lag_3h,0.5549903849853994
wind_speed,0.46221148030963943
wind_speed_lag_3h,0.17420979513884735
