feature,mean_abs_shap
temp,32.85869102457231
temp_lag_1h,29.606385337224886
temp_lag_3h,15.768420043835148
aqi_roll_mean_6h,10.066581498767517
aqi_epa,9.417507159320587
humidity,8.147417070194232
pressure,6.923472177603255
aqi_lag_12h,5.7077764243783955
aqi_lag_6h,4.9388896996264275
humidity_lag_3h,4.889015035140084
aqi_lag_1h,3.388252543212165
humidity_lag_1h,3.0771657172018405
aqi_lag_24h,2.871107230153891
hour,2.3504372198993297
wind_speed,1.8380446446221939
aqi_lag_3h,1.686395901725561
aqi_roll_std_6h,1.3491160720922368
day_of_week,1.0619975355460816
wind_speed_lag_1h,0.8238399025731903
wind_deg,0.7321803666932517
wind_speed_lag_3h,0.6095667974692263
