feature,mean_abs_shap
temp,24.010788348999927
aqi_epa,22.976720829397763
temp_lag_1h,21.913250715127827
aqi_roll_mean_6h,18.467723533294212
aqi_lag_1h,10.608996209743864
aqi_lag_6h,7.766016593304316
pressure,7.638426718683968
aqi_lag_12h,6.259922133952249
aqi_lag_3h,6.0101083537902875
humidity,4.968273441743662
humidity_lag_3h,3.5698672772505855
wind_speed,3.331583500272947
wind_deg,2.950364060140284
day_of_week,1.4826072522661846
hour,1.069823426829483
aqi_lag_24h,0.8121860111056697
humidity_lag_1h,0.5839303169488798
temp_lag_3h,0.44740673519103175
wind_speed_lag_1h,0.2749979952240209
aqi_roll_std_6h,0.19699668454455535
wind_speed_lag_3h,0.10906430441400017
