feature,mean_abs_shap
aqi_epa,24.362300224992296
temp_lag_1h,23.949986355492562
temp,21.170106905736034
aqi_roll_mean_6h,10.549346319291443
aqi_lag_12h,8.063193821837762
temp_lag_3h,7.9443238069433395
aqi_lag_6h,6.175679736064644
aqi_lag_1h,4.68995860562481
pressure,4.124730608975464
humidity_lag_3h,3.0809236972874103
wind_speed,2.3320707999888843
aqi_lag_3h,1.851523024373701
aqi_lag_24h,1.753224602156898
hour,1.0987394152444223
humidity,0.9797180643174016
day_of_week,0.9587391191514445
aqi_roll_std_6h,0.7553950783097553
wind_speed_lag_1h,0.6601316999694045
humidity_lag_1h,0.44103220939679993
wind_deg,0.2853325500145556
wind_speed_lag_3h,0.07075881358323938
